workerid,language,initialValue,die0numdots,die0color,die1numdots,die1color,die2numdots,die2color,die3numdots,die3color,numRed,numBlack,context,quantifier,number,qcolor,attentionCheck,requestedValue,rt,response
A8JXT1N2CITEM,English,0.41918449522927403,5,black,5,black,1,red,5,red,6,10,plain,less than,six,red,No,NA,19656,0
A8JXT1N2CITEM,English,0.1557069243863225,2,red,2,black,3,red,2,black,5,4,plain,more than,seven,black,No,NA,8549,0
A8JXT1N2CITEM,English,0.004012585384771228,1,black,5,red,4,black,1,red,6,5,plain,exactly,six,black,No,NA,7695,0
A8JXT1N2CITEM,English,0.7111941981129348,1,black,2,black,1,red,4,red,5,3,plain,bare,seven,black,No,NA,6177,0
A8JXT1N2CITEM,English,0.9862885139882565,5,black,5,red,5,black,2,red,7,10,plain,bare,six,red,No,NA,9001,8
A8JXT1N2CITEM,English,0.7957669827155769,3,red,3,black,5,black,1,red,4,8,existential,bare,seven,red,No,NA,3651,0
A8JXT1N2CITEM,English,0.7203754249494523,1,black,4,black,5,red,2,red,7,5,plain,bare,eight,red,No,NA,4040,13
A8JXT1N2CITEM,English,0.33695366652682424,1,red,4,black,6,black,4,red,5,10,plain,exactly,six,black,No,NA,7426,0
A8JXT1N2CITEM,English,0.9525140672922134,6,red,1,black,3,red,3,black,9,4,existential,bare,eight,black,No,NA,4118,0
A8JXT1N2CITEM,English,0.1538981709163636,5,black,3,red,2,black,1,red,4,7,plain,more than,five,red,No,NA,3245,0
A8JXT1N2CITEM,English,0.3705488513223827,2,black,4,red,2,black,5,red,9,4,existential,exactly,five,red,No,NA,8315,15
A8JXT1N2CITEM,English,0.44658441352657974,2,red,6,black,1,black,6,red,8,7,plain,only,six,black,No,NA,5194,0
A8JXT1N2CITEM,English,0.6412467611953616,1,black,2,red,3,red,1,black,5,2,plain,more than,six,black,Yes,24,5429,24
A8JXT1N2CITEM,English,0.9531933329999447,1,black,6,red,4,red,5,black,10,6,plain,more than,seven,red,No,NA,4994,100
A8JXT1N2CITEM,English,0.7136806531343609,4,red,3,red,6,black,2,black,7,8,plain,bare,five,red,No,NA,4415,5
A8JXT1N2CITEM,English,0.7595532087143511,3,red,1,red,6,black,2,black,4,8,plain,only,eight,black,No,NA,5725,100
A8JXT1N2CITEM,English,0.20757352327927947,4,black,1,red,2,red,3,black,3,7,existential,exactly,seven,red,No,NA,3416,0
A8JXT1N2CITEM,English,0.5271837695036083,6,red,6,black,1,black,3,red,9,7,plain,only,eight,red,No,NA,3807,0
A8JXT1N2CITEM,English,0.9717795583419502,4,black,1,red,3,red,6,black,4,10,existential,only,six,black,No,NA,8268,10
A8JXT1N2CITEM,English,0.9416278784628958,1,black,6,black,5,red,1,red,6,7,plain,exactly,eight,black,No,NA,5990,0
A8JXT1N2CITEM,English,0.04248254653066397,5,red,5,red,4,black,1,black,10,5,existential,bare,eight,black,No,NA,4758,0
A8JXT1N2CITEM,English,0.7159762426745147,1,black,6,black,4,red,6,red,10,7,plain,less than,seven,red,No,NA,4634,0
A8JXT1N2CITEM,English,0.7881940163206309,4,black,1,black,2,red,6,red,8,5,plain,bare,four,black,No,NA,6084,90
A8JXT1N2CITEM,English,0.5727384781930596,6,black,4,red,3,black,3,red,7,9,existential,more than,seven,black,No,NA,6988,100
A8JXT1N2CITEM,English,0.5739729215856642,4,black,2,black,6,red,2,red,8,6,plain,bare,five,red,No,NA,6581,70
A8JXT1N2CITEM,English,0.9198869159445167,1,black,2,red,3,black,2,red,4,4,plain,only,eight,black,Yes,16,3775,16
A8JXT1N2CITEM,English,0.687302986625582,3,black,6,black,5,red,5,red,10,9,existential,more than,eight,black,No,NA,5522,100
A8JXT1N2CITEM,English,0.9920554920099676,6,red,3,red,6,black,3,black,9,9,plain,less than,seven,red,No,NA,6225,0
A8JXT1N2CITEM,English,0.1899454570375383,1,red,4,black,3,red,4,black,4,8,plain,less than,seven,black,No,NA,3978,0
A8JXT1N2CITEM,English,0.21022899076342583,6,black,5,black,4,red,5,red,9,11,plain,exactly,four,red,No,NA,9594,25
A8JXT1N2CITEM,English,0.6688079982995987,5,red,4,black,6,red,2,black,11,6,existential,more than,five,black,No,NA,4618,100
A8JXT1N2CITEM,English,0.03865720238536596,6,red,1,black,2,black,5,red,11,3,plain,less than,six,red,No,NA,3603,0
A8JXT1N2CITEM,English,0.361858676886186,3,red,3,red,3,black,6,black,6,9,existential,less than,eight,black,No,NA,3885,0
A8JXT1N2CITEM,English,0.5349101363681257,4,black,5,red,1,red,2,black,6,6,plain,more than,eight,black,No,NA,5116,0
A8JXT1N2CITEM,English,0.1680954243056476,2,red,3,black,5,red,5,black,7,8,plain,only,eight,red,No,NA,7410,0
A8JXT1N2CITEM,English,0.10907088918611407,3,red,2,red,3,black,4,black,5,7,plain,less than,seven,black,No,NA,6150,0
A8JXT1N2CITEM,English,0.5477966931648552,5,red,4,black,3,black,2,red,7,7,plain,less than,eight,black,No,NA,6536,100
A8JXT1N2CITEM,English,0.0827638313639909,1,red,3,black,3,red,5,black,4,8,plain,more than,four,black,No,NA,6755,100
A8JXT1N2CITEM,English,0.7434572097845376,5,black,5,red,4,red,4,black,9,9,existential,only,five,red,No,NA,4337,20
A8JXT1N2CITEM,English,0.5404591276310384,4,red,4,red,6,black,4,black,8,10,plain,bare,eight,red,No,NA,6068,100
